========================================================================================================================
  魔法金属方块清单 - 用于手动校对匹配
  格式: 序号 | MMM注册名 | 元数据 | 中文名
    427  |  manametalmod:RockBlockNewMinecraft2_  |      8  |  錾制地狱砖块
    428  |  manametalmod:RockBlockNewMinecraft2_  |      3  |  錾制黑石
    429  |  minecraft:quartz_block                |      1  |  錾制石英块
    430  |                                        |         |  
    431  |                                        |         |  
    432  |  minecraft:sandstone                   |      1  |  錾制沙石
    433  |  minecraft:stonebrick                  |      3  |  錾制石砖
    434  |                                        |         |  
    435  |                                        |         |  
    436  |  manametalmod:deepslateblock           |      0  |  深板岩碎石
    437  |  minecraft:cobblestone                 |      0  |  圆石
    438  |  manametalmod:deepslatebrick           |      3  |  裂纹深板岩砖
    439  |                                        |         |  
    440  |                                        |         |  
    441  |  minecraft:stonebrick                  |      2  |  裂石砖
    442  |                                        |         |  
    443  |  minecraft:sandstone                   |      2  |  平滑沙石
    444  |  manametalmod:RockBlockNewMinecraft    |     10  |  暗海晶石
    445  |  manametalmod:deepslatebrick           |      1  |  深板岩砖
    446  |  manametalmod:RockBlockNewMinecraft    |      3  |  闪长岩
    447  |  minecraft:end_stone                   |      0  |  末地石
    448  |  manametalmod:RockBlockNewMinecraft    |     13  |  末地石砖
    449  |  manametalmod:RockBlockNewMinecraft    |      1  |  花岗岩
    450  |                                        |         |  
    451  |  minecraft:monster_egg                 |      4  |  裂石砖怪物蛋
    452  |  minecraft:monster_egg                 |      3  |  苔石砖怪物蛋
    453  |  minecraft:monster_egg                 |      2  |  石砖怪物蛋
    454  |  minecraft:stonebrick                  |      1  |  苔石砖
    455  |  manametalmod:mud                      |      1  |  泥砖
    456  |  minecraft:nether_brick                |      0  |  地狱砖块
    457  |  manametalmod:RockBlockNewMinecraft    |      6  |  平滑安山岩
    458  |                                        |         |  
    459  |  manametalmod:RockBlockNewMinecraft2_  |      1  |  磨制黑石
    460  |  manametalmod:RockBlockNewMinecraft2_  |      2  |  磨制黑石砖
    461  |  manametalmod:deepslateblock           |      1  |  抛光深板岩
    462  |  manametalmod:RockBlockNewMinecraft    |      4  |  平滑闪长岩
    463  |  manametalmod:RockBlockNewMinecraft    |      2  |  平滑花岗岩
    464  |                                        |         |  
    465  |  manametalmod:RockBlockNewMinecraft    |      8  |  海晶石
    466  |  manametalmod:RockBlockNewMinecraft    |      9  |  海晶石砖
    467  |  manametalmod:RockBlockNewMinecraft    |      7  |  紫珀砖
    468  |  manametalmod:purpur_pillar            |      0  |  紫珀柱
    469  |  minecraft:quartz_block                |      0  |  石英块
    470  |                                        |         |  
    471  |                                        |         |  
    472  |  manametalmod:RockBlockNewMinecraft    |     11  |  红地狱砖
    473  |                                        |         |  
    474  |                                        |         |  
    475  |  minecraft:sandStone                   |      0  |  沙石
    476  |  manametalmod:RockBlockNewMinecraft3_  |     12  |  六面平滑石英
    477  |  manametalmod:RockBlockNewMinecraft3_  |      9  |  六面平滑红砂岩
    478  |  manametalmod:RockBlockNewMinecraft3_  |      8  |  六面平滑砂岩
    479  |  manametalmod:RockBlockNewMinecraft    |      0  |  平滑石头
    480  |  minecraft:stone                       |      0  |  石头
    481  |  minecraft:stonebrick                  |      0  |  石砖
    482  |                                        |         |  

  --- 自然地表 ---

    483  |  minecraft:clay             |      0  |  粘土块
    484  |                             |         |  
    485  |  minecraft:dirt             |      0  |  泥土
    486  |  minecraft:farmland         |      0  |  耕地
    487  |  minecraft:grass            |      0  |  草方块
    488  |  minecraft:gravel           |      0  |  沙砾
    489  |  minecraft:mycelium         |      0  |  菌丝
    490  |  minecraft:dirt             |      2  |  灰化土
    491  |  minecraft:sand             |      1  |  红沙
    492  |  minecraft:sand             |      0  |  沙子
    493  |  minecraft:soul_sand        |      0  |  灵魂沙
    494  |  manametalmod:soul_soil     |      0  |  灵魂土

  --- 自然其他 ---
  
    495  |                                        |         |  
    496  |  manametalmod:RockBlockNewMinecraft2_  |      4  |  哭泣的黑曜石
    497  |  minecraft:glowstone                   |      0  |  萤石
    498  |  manametalmod:ice                      |      0  |  冰
    499  |  minecraft:flowing_lava                |      0  |  岩浆
    500  |                                        |         |  
    501  |  minecraft:obsidian                    |      0  |  黑曜石
    502  |  minecraft:packed_ice                  |      0  |  浮冰
    503  |  manametalmod:sea_lantern              |      0  |  海晶灯
    504  |  minecraft:snow_layer                  |      0  |  雪
    505  |  minecraft:snow                        |      0  |  雪块
    506  |  minecraft:sponge                      |      0  |  海绵
    507  |  minecraft:flowing_water               |      0  |  水
    508  |                                        |         |  

  --- 矿石 ---
  
    509  |  minecraft:coal_ore          |      0  |  煤矿石
    510  |  manametalmod:oreCopper      |      0  |  铜矿石
    511  |                              |         |  
    512  |                              |         |  
    513  |                              |         |  
    514  |                              |         |  
    515  |                              |         |  
    516  |                              |         |  
    517  |                              |         |  
    518  |                              |         |  
    519  |  minecraft:diamond_ore       |      0  |  钻石矿石
    520  |  minecraft:emerald_ore       |      0  |  绿宝石矿石
    521  |  minecraft:gold_ore          |      0  |  金矿石
    522  |  minecraft:iron_ore          |      0  |  铁矿石
    523  |  minecraft:lapis_ore         |      0  |  青金石矿石
    524  |  manametalmod:blockHellGold  |      0  |  下界金矿石
    525  |  minecraft:quartz_ore        |      0  |  下界石英矿石
    526  |  minecraft:redstone_ore      |      0  |  红石矿石

  --- 按钮 ---
  
    527  |  minecraft:wooden_button                   |  0  |  按钮
    528  |  minecraft:wooden_button                   |  0  |  按钮
    529  |  minecraft:wooden_button                   |  0  |  按钮
    530  |  minecraft:wooden_button                   |  0  |  按钮
    531  |  minecraft:wooden_button                   |  0  |  按钮
    532  |  minecraft:wooden_button                   |  0  |  按钮
    533  |  minecraft:wooden_button                   |  0  |  按钮
    534  |  minecraft:wooden_button                   |  0  |  按钮
    535  |  minecraft:wooden_button                   |  0  |  按钮
    536  |  minecraft:wooden_button                   |  0  |  按钮
    537  |  minecraft:stone_button                    |  0  |  按钮
    538  |  minecraft:wooden_button                   |  0  |  按钮
    539  |  minecraft:stone_button                    |  0  |  按钮
    540  |  minecraft:wooden_button                   |  0  |  按钮

  --- 压力板 ---
  
    541  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    542  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    543  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    544  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    545  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    546  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    547  |  minecraft:heavy_weighted_pressure_plate   |  0  |  测重压力板（重质）
    548  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    549  |  minecraft:light_weighted_pressure_plate   |  0  |  测重压力板（轻质）
    550  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    551  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    552  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    553  |  minecraft:stone_pressure_plate            |  0  |  压力板
    554  |  minecraft:wooden_pressure_plate           |  0  |  压力板
    555  |  minecraft:stone_pressure_plate            |  0  |  压力板
    556  |  minecraft:wooden_pressure_plate           |  0  |  压力板

  --- 功能方块 ---
  
    557  |  minecraft:anvil                       |      0  |  铁砧
    558  |                                        |         |  
    559  |  minecraft:beacon                      |      0  |  信标
    560  |  manametalmod:BlockFurnitureBases      |     72  |  钟
    561  |                                        |         |  
    562  |  minecraft:brewing_stand               |      0  |  酿造台
    563  |  manametalmod:campfire                 |      0  |  营火
    564  |                                        |         |  
    565  |  minecraft:cauldron                    |      0  |  炼药锅
    566  |  minecraft:chest                       |      0  |  箱子
    567  |  minecraft:comparator                  |      0  |  红石比较器
    568  |  manametalmod:BlockComposters          |      0  |  堆肥桶
    569  |  minecraft:crafting_table              |      0  |  工作台
    570  |  minecraft:daylight_detector           |      0  |  阳光传感器
    571  |  minecraft:dispenser                   |      0  |  发射器
    572  |  minecraft:dropper                     |      0  |  投掷器
    573  |  minecraft:enchanting_table            |      0  |  附魔台
    574  |  minecraft:ender_chest                 |      0  |  末影箱
    575  |                                        |         |  
    576  |  minecraft:furnace                     |      0  |  熔炉
    577  |                                        |         |  
    578  |  minecraft:hopper                      |      0  |  漏斗
    579  |  minecraft:jukebox                     |      0  |  唱片机
    580  |  manametalmod:BlockLanterns            |      2  |  铁灯笼
    581  |  manametalmod:BlockLecternM3           |      0  |  讲台
    582  |  minecraft:lever                       |      0  |  拉杆
    583  |                                        |         |  
    584  |  minecraft:noteblock                   |      0  |  音符盒
    585  |                                        |         |  
    586  |  minecraft:piston                      |      0  |  活塞
    587  |  minecraft:redstone_lamp               |      0  |  红石灯
    588  |  minecraft:redstone_torch              |      0  |  红石火把
    589  |  minecraft:powered_repeater            |      0  |  红石中继器
    590  |                                        |         |  
    591  |                                        |         |  
    592  |  manametalmod:campfire_soul            |      0  |  灵魂营火
    593  |                                        |         |  
    594  |                                        |         |  
    595  |  minecraft:sticky_piston               |      0  |  粘性活塞
    596  |  minecraft:Stonecutter                 |      3  |  石材切割机
    597  |                                        |         |  
    598  |  manametalmod:torch                    |      0  |  火把
    599  |  minecraft:trapped_chest               |      0  |  陷阱箱

  --- 交通/红石 ---
  
    600  |  minecraft:activator_rail                  |  0  |  激活铁轨
    601  |  minecraft:detector_rail                   |  0  |  探测铁轨
    602  |  minecraft:golden_rail                     |  0  |  动力铁轨
    603  |  minecraft:rail                            |  0  |  铁轨
    604  |  minecraft:redstone_wire                   |  0  |  红石
    605  |  minecraft:tripwire                        |  0  |  线
    606  |  minecraft:tripwire_hook                   |  0  |  绊线钩

  --- 植物 ---

    607  |  minecraft:red_flower                |      2  |  绒球葱
    608  |  minecraft:red_flower                |      3  |  茜草花
    609  |                                      |         |  
    610  |                                      |         |  
    611  |  minecraft:red_flower                |      1  |  兰花
    612  |  minecraft:brown_mushroom            |      0  |  蘑菇
    613  |  minecraft:cactus                    |      0  |  仙人掌
    614  |  minecraft:carrots                   |      0  |  胡萝卜
    615  |  manametalmod:BlockChorusFlower      |      0  |  紫颂花
    616  |                                      |         |  
    617  |  minecraft:cocoa                     |      0  |  可可果
    618  |  minecraft:yellow_flower             |      0  |  蒲公英
    619  |  minecraft:dead_bush                 |      0  |  枯死的灌木
    620  |  manametalmod:kelpblock              |      0  |  海带块
    621  |  minecraft:tallgrass                 |      2  |  蕨
    622  |  minecraft:tallgrass                 |      1  |  草
    623  |  manametalmod:BlockSeaGrass1         |      0  |  海带
    624  |  minecraft:double_plant              |      3  |  大型蕨
    625  |  minecraft:double_plant              |      1  |  丁香
    626  |  minecraft:waterlily                 |      0  |  睡莲
    627  |  minecraft:melon_block               |      0  |  西瓜
    628  |  minecraft:melon_stem                |      0  |  Melon stem
    629  |  minecraft:nether_wart               |      0  |  地狱疣
    630  |  minecraft:red_flower                |      5  |  橙色郁金香
    631  |  minecraft:red_flower                |      8  |  滨菊
    632  |  minecraft:double_plant              |      5  |  牡丹
    633  |  minecraft:red_flower                |      7  |  粉红色郁金香
    634  |  minecraft:red_flower                |      0  |  罂粟
    635  |  minecraft:potatoes                  |      0  |  马铃薯
    636  |  minecraft:pumpkin                   |      0  |  南瓜
    637  |  minecraft:pumpkin_stem              |      0  |  Pumpkin stem
    638  |  minecraft:red_mushroom              |      0  |  蘑菇
    639  |  minecraft:red_flower                |      4  |  红色郁金香
    640  |  minecraft:double_plant              |      4  |  玫瑰丛
    641  |                                      |         |  
    642  |  minecraft:reeds                     |      0  |  甘蔗
    643  |  minecraft:double_plant              |      0  |  向日葵
    644  |  manametalmod:SweetBerrie_cropBlock  |     10  |  甜浆果丛
    645  |  minecraft:double_plant              |      2  |  高草丛
    646  |  minecraft:vine                      |      0  |  藤蔓
    647  |  minecraft:wheat                     |      0  |  小麦
    648  |  minecraft:red_flower                |      6  |  白色郁金香

  --- 潜影盒 ---
  
    649  |                                            |     |  
    650  |                                            |     |  
    651  |                                            |     |  
    652  |                                            |     |  
    653  |                                            |     |  
    654  |                                            |     |  
    655  |                                            |     |  
    656  |                                            |     |  
    657  |                                            |     |  
    658  |                                            |     |  
    659  |                                            |     |  
    660  |                                            |     |  
    661  |                                            |     |  
    662  |                                            |     |  
    663  |                                            |     |  
    664  |                                            |     |  
    665  |                                            |     |  

  --- 杂项建筑 ---

    666  |  minecraft:bookshelf                        |      0  |  书架
    667  |  minecraft:glass                            |      0  |  玻璃
    668  |  minecraft:glass_pane                       |      0  |  玻璃板
    669  |  minecraft:iron_bars                        |      0  |  铁栏杆
    670  |  minecraft:ladder                           |      0  |  梯子
    671  |                                             |         |  
    672  |  manametalmod:BlockFlagStanding             |      0  |  旗帜

  --- 其他 ---
  
    673  |                                          |         |  
    674  |  manametalmod:blocksign_acacia           |      0  |  金合欢木告示牌
    675  |                                          |      0  |  
    676  |  manametalmod:blocksignwall_acacia       |      5  |  金合欢木告示牌
    677  |  manametalmod:BlockAirLight              |      0  |  空气
    678  |  manametalmod:Blockamethyst              |      0  |  紫水晶块
    679  |  manametalmod:BlockAmethystClusters      |      0  |  紫水晶簇
    680  |  manametalmod:oreNetherite               |      0  |  远古残骸
    681  |                                          |         |  
    682  |                                          |         |  
    683  |  manametalmod:BlockAzaleas               |      0  |  杜鹃
    684  |                                          |         |  
    685  |                                          |         |  
    686  |                                          |         |  
    687  |                                          |         |  
    688  |                                          |         |  
    689  |                                          |         |  
    690  |                                          |         |  
    691  |                                          |         |  
    692  |                                          |         |  
    693  |                                          |         |  
    694  |                                          |         |  
    695  |                                          |         |  
    696  |                                          |         |  
    697  |                                          |         |  
    698  |                                          |         |  
    699  |  manametalmod:blocksBigHoneys            |      0  |  普通蜂巢
    700  |                                          |         |  
    701  |                                          |         |  
    702  |                                          |         |  
    703  |                                          |         |  
    704  |  manametalmod:blocksign_birch            |      0  |  桦木告示牌
    705  |                                          |         |  
    706  |  manametalmod:blocksignwall_birch        |      5  |  桦木告示牌
    707  |  manametalmod:Bed_Black                  |      0  |  黑色床
    708  |  manametalmod:BlockCandles               |     15  |  黑色蜡烛
    709  |                                          |         |  
    710  |  manametalmod:RockBlockNewMinecraft2_    |      0  |  黑石
    711  |  manametalmod:Bed_Blue                   |      0  |  蓝色床
    712  |  manametalmod:BlockCandles               |     11  |  蓝色蜡烛
    713  |                                          |         |  
    714  |  manametalmod:bone_block                 |      0  |  骨块
    715  |                                          |         |  
    716  |  manametalmod:RockBlockNewMinecraft2_    |     11  |  脑珊瑚方块
    717  |                                          |         |  
    718  |                                          |         |  
    719  |  manametalmod:Bed_Brown                  |      0  |  棕色床
    720  |  manametalmod:BlockCandles               |     12  |  棕色蜡烛
    721  |                                          |         |  
    722  |  minecraft:brown_mushroom_block          |      0  |  蘑菇
    723  |                                          |         |  
    724  |                                          |         |  
    725  |  manametalmod:RockBlockNewMinecraft2_    |     12  |  气泡珊瑚方块
    726  |                                          |         |  
    727  |                                          |         |  
    728  |  manametalmod:Blockamethyst              |      1  |  紫水晶母岩
    729  |                                          |         |  
    730  |                                          |         |  
    731  |  minecraft:cake                          |      0  |  蛋糕
    732  |  manametalmod:RockBlockNewMinecraft      |     14  |  方解石
    733  |                                          |         |  
    734  |  manametalmod:BlockCandles               |      0  |  蜡烛
    735  |                                          |         |  
    736  |                                          |         |  
    737  |                                          |         |  
    738  |  manametalmod:BlockCaveLeaves            |      0  |  藤蔓
    739  |                                          |         |  
    740  |  manametalmod:BlockChain1                |      2  |  铁锁链
    741  |                                          |         |  
    742  |                                          |         |  
    743  |                                          |         |  
    744  |                                          |         |  
    745  |                                          |         |  
    746  |  minecraft:anvil                         |      1  |  轻微损坏的铁砧
    747  |                                          |         |  
    748  |  minecraft:coal_block                    |      0  |  煤炭块
    749  |  minecraft:web                           |      0  |  蜘蛛网
    750  |                                          |         |  
    751  |                                          |         |  
    752  |  manametalmod:copperblock                |      0  |  铜块
    753  |                                          |         |  
    754  |                                          |         |  
    755  |                                          |         |  
    756  |  manametalmod:deepslatebrick             |      4  |  裂纹深板岩砖瓦
    757  |                                          |         |  
    758  |                                          |         |  
    759  |                                          |         |  
    760  |                                          |         |  
    761  |  manametalmod:wood_sapling_NetherRed     |      0  |  绯红菌
    762  |                                          |         |  
    763  |                                          |         |  
    764  |  manametalmod:DritNylium1                |      0  |  绯红菌丝石
    765  |  manametalmod:FlowersMC                  |      5  |  绯红菌
    766  |                                          |         |  
    767  |  manametalmod:wood_log_NetherRed         |      0  |  绯红菌柄
    768  |                                          |         |  
    769  |                                          |         |  
    770  |  manametalmod:copperblock                |      4  |  切制铜块
    771  |  manametalmod:Bed_Cyan                   |      0  |  青色床
    772  |  manametalmod:BlockCandles               |      9  |  青色蜡烛
    773  |                                          |         |  
    774  |  minecraft:anvil                         |      2  |  严重损坏的铁砧
    775  |                                          |         |  
    776  |  manametalmod:blocksign_dark_oak         |      0  |  黑橡木告示牌
    777  |                                          |         |  
    778  |  manametalmod:blocksignwall_dark_oak     |      5  |  黑橡木告示牌
    779  |                                          |         |  
    780  |                                          |         |  
    781  |                                          |         |  
    782  |                                          |         |  
    783  |                                          |         |  
    784  |                                          |         |  
    785  |                                          |         |  
    786  |                                          |         |  
    787  |                                          |         |  
    788  |                                          |         |  
    789  |                                          |         |  
    790  |                                          |         |  
    791  |                                          |         |  
    792  |                                          |         |  
    793  |                                          |         |  
    794  |                                          |         |  
    795  |                                          |         |  
    796  |                                          |         |  
    797  |                                          |         |  
    798  |                                          |         |  
    799  |                                          |         |  
    800  |  manametalmod:deepslate                  |      0  |  深板岩
    801  |  manametalmod:deepslatebrick             |      2  |  深板岩砖瓦
    802  |  minecraft:diamond_block                 |      0  |  钻石块
    803  |  manametalmod:BlockGrassPaths            |      0  |  草径
    804  |  minecraft:dragon_egg                    |      0  |  龙蛋
    805  |                                          |         |  
    806  |                                          |         |  
    807  |  manametalmod:RockBlockNewMinecraft2_    |      7  |  滴水石块
    808  |  minecraft:emerald_block                 |      0  |  绿宝石块
    809  |                                          |         |  
    810  |                                          |         |  
    811  |  minecraft:end_portal_frame              |      0  |  末地传送门
    812  |  manametalmod:endrod                     |      1  |  终界烛
    813  |                                          |         |  
    814  |  manametalmod:copperblock                |      1  |  斑驳铜块
    815  |                                          |         |  
    816  |                                          |         |  
    817  |  manametalmod:copperblock                |      5  |  斑驳切制铜块
    818  |                                          |         |  
    819  |                                          |         |  
    820  |  manametalmod:RockBlockNewMinecraft2_    |     13  |  火珊瑚方块
    821  |                                          |         |  
    822  |                                          |         |  
    823  |                                          |         |  
    824  |  manametalmod:BlockFlowerPotM3           |      0  |  花盆
    825  |  manametalmod:BlockAzaleas               |      1  |  杜鹃
    826  |                                          |         |  
    827  |                                          |         |  
    828  |                                          |         |  
    829  |  manametalmod:BlockGlowLichens           |      0  |  发光地衣
    830  |  minecraft:gold_block                    |      0  |  金块
    831  |  manametalmod:Bed_Gray                   |      0  |  灰色床
    832  |  manametalmod:BlockCandles               |      7  |  灰色蜡烛
    833  |                                          |         |  
    834  |  manametalmod:Bed_Green                  |      0  |  绿色床
    835  |  manametalmod:BlockCandles               |     13  |  绿色蜡烛
    836  |                                          |         |  
    837  |                                          |         |  
    838  |  minecraft:hay_block                     |      0  |  干草块
    839  |                                          |         |  
    840  |                                          |         |  
    841  |                                          |         |  
    842  |                                          |         |  
    843  |  manametalmod:RockBlockNewMinecraft2_    |     14  |  角珊瑚方块
    844  |                                          |         |  
    845  |                                          |         |  
    846  |  minecraft:monster_egg                   |      1  |  圆石怪物蛋
    847  |                                          |         |  
    848  |  minecraft:monster_egg                   |      0  |  石头怪物蛋
    849  |  minecraft:iron_block                    |      0  |  铁块
    850  |  minecraft:lit_pumpkin                   |      0  |  南瓜灯
    851  |                                          |         |  
    852  |                                          |         |  
    853  |  manametalmod:blocksign_jungle           |      0  |  丛林木告示牌
    854  |                                          |         |  
    855  |  manametalmod:blocksignwall_jungle       |      5  |  丛林木告示牌
    856  |                                          |         |  
    857  |  minecraft:lapis_block                   |      0  |  青金石块
    858  |  manametalmod:BlockAmethystClusters      |      0  |  紫水晶簇
    859  |  minecraft:cauldron                      |      0  |  炼药锅
    860  |                                          |         |  
    861  |  manametalmod:BlockAirLight              |      0  |  空气
    862  |  manametalmod:Bed_LightBlue              |      0  |  淡蓝色床
    863  |  manametalmod:BlockCandles               |      3  |  浅蓝色蜡烛
    864  |                                          |         |  
    865  |  manametalmod:Bed_LightGray              |      0  |  淡灰色床
    866  |  manametalmod:BlockCandles               |      8  |  浅灰色蜡烛
    867  |                                          |         |  
    868  |                                          |         |  
    869  |                                          |         |  
    870  |  manametalmod:Bed_Lime                   |      0  |  浅绿色床
    871  |  manametalmod:BlockCandles               |      5  |  浅绿色蜡烛
    872  |                                          |         |  
    873  |  manametalmod:BlockLodestone             |      0  |  磁石
    874  |  manametalmod:Bed_Magenta                |      0  |  品红色床
    875  |  manametalmod:BlockCandles               |      2  |  桃红色蜡烛
    876  |                                          |         |  
    877  |                                          |         |  
    878  |  manametalmod:wood_sapling_redtree       |      0  |  红树树苗
    879  |                                          |         |  
    880  |                                          |         |  
    881  |                                          |         |  
    882  |                                          |         |  
    883  |  manametalmod:BlockAmethystClusters      |      0  |  紫水晶簇
    884  |  manametalmod:BlockMossgrass             |      0  |  苔藓块
    885  |  minecraft:mossy_cobblestone             |      0  |  苔石
    886  |                                          |         |  
    887  |  manametalmod:mud                        |      0  |  泥巴
    888  |                                          |         |  
    889  |  manametalmod:mushroomHandle             |      0  |  蘑菇柄
    890  |  minecraft:portal                        |      0  |  传送门
    891  |  manametalmod:FlowersMC                  |      2  |  下界苗
    892  |  manametalmod:RockBlockNewMinecraft      |     12  |  地狱疣块
    893  |  manametalmod:blockNetherite             |      0  |  下界合金块
    894  |  minecraft:netherrack                    |      0  |  地狱岩
    895  |                                          |         |  
    896  |  minecraft:standing_sign                 |      0  |  告示牌
    897  |                                          |         |  
    898  |  minecraft:wall_sign                     |      5  |  告示牌
    899  |  manametalmod:froglight_0                |      0  |  赭黄蛙光体
    900  |                                          |         |  
    901  |  manametalmod:Bed_Orange                 |      0  |  橙色床
    902  |  manametalmod:BlockCandles               |      1  |  橘色蜡烛
    903  |                                          |         |  
    904  |                                          |         |  
    905  |  manametalmod:copperblock                |      3  |  氧化铜块
    906  |                                          |         |  
    907  |                                          |         |  
    908  |  manametalmod:copperblock                |      7  |  氧化切制铜块
    909  |  manametalmod:mud                        |      2  |  泥坯
    910  |                                          |         |  
    911  |                                          |         |  
    912  |                                          |         |  
    913  |                                          |         |  
    914  |                                          |         |  
    915  |                                          |         |  
    916  |  manametalmod:froglight_1                |      0  |  朱紫蛙光体
    917  |                                          |         |  
    918  |                                          |         |  
    919  |  manametalmod:Bed_Pink                   |      0  |  粉色床
    920  |  manametalmod:BlockCandles               |      6  |  粉红蜡烛
    921  |                                          |         |  
    922  |                                          |         |  
    923  |                                          |         |  
    924  |                                          |         |  
    925  |                                          |         |  
    926  |                                          |         |  
    927  |                                          |         |  
    928  |                                          |         |  
    929  |                                          |         |  
    930  |                                          |         |  
    931  |  minecraft:flower_pot                    |      0  |  花盆
    932  |  minecraft:flower_pot                    |      0  |  花盆
    933  |  minecraft:flower_pot                    |      0  |  花盆
    934  |  minecraft:flower_pot                    |      0  |  花盆
    935  |  minecraft:flower_pot                    |      0  |  花盆
    936  |  minecraft:flower_pot                    |      0  |  花盆
    937  |  minecraft:flower_pot                    |      0  |  花盆
    938  |  minecraft:flower_pot                    |      0  |  花盆
    939  |  minecraft:flower_pot                    |      0  |  花盆
    940  |  minecraft:flower_pot                    |      0  |  花盆
    941  |  minecraft:flower_pot                    |      0  |  花盆
    942  |  minecraft:flower_pot                    |      0  |  花盆
    943  |  minecraft:flower_pot                    |      0  |  花盆
    944  |  minecraft:flower_pot                    |      0  |  花盆
    945  |  minecraft:flower_pot                    |      0  |  花盆
    946  |  minecraft:flower_pot                    |      0  |  花盆
    947  |  minecraft:flower_pot                    |      0  |  花盆
    948  |  minecraft:flower_pot                    |      0  |  花盆
    949  |  minecraft:flower_pot                    |      0  |  花盆
    950  |  minecraft:flower_pot                    |      0  |  花盆
    951  |  minecraft:flower_pot                    |      0  |  花盆
    952  |  minecraft:flower_pot                    |      0  |  花盆
    953  |  minecraft:flower_pot                    |      0  |  花盆
    954  |  minecraft:flower_pot                    |      0  |  花盆
    955  |  minecraft:flower_pot                    |      0  |  花盆
    956  |  minecraft:flower_pot                    |      0  |  花盆
    957  |  minecraft:flower_pot                    |      0  |  花盆
    958  |  minecraft:flower_pot                    |      0  |  花盆
    959  |                                          |         |  
    960  |  minecraft:cauldron                      |      0  |  炼药锅
    961  |  manametalmod:Bed_Purple                 |      0  |  紫色床
    962  |  manametalmod:BlockCandles               |     10  |  紫色蜡烛
    963  |                                          |         |  
    964  |                                          |         |  
    965  |                                          |         |  
    966  |                                          |         |  
    967  |  manametalmod:Bed_Red                    |      0  |  红色床
    968  |  manametalmod:BlockCandles               |     14  |  红色蜡烛
    969  |                                          |         |  
    970  |  minecraft:red_mushroom_block            |      0  |  蘑菇
    971  |  minecraft:redstone_block                |      0  |  红石块
    972  |  minecraft:redstone_torch                |      1  |  红石火把
    973  |  manametalmod:reinforced_deepslate       |      0  |  强化深板岩
    974  |                                          |         |  
    975  |                                          |         |  
    976  |                                          |         |  
    977  |                                          |         |  
    978  |                                          |         |  
    979  |                                          |         |  
    980  |                                          |         |  
    981  |                                          |         |  
    982  |                                          |         |  
    983  |                                          |         |  
    984  |  manametalmod:BlockSeaGrass2             |      0  |  海草
    985  |                                          |         |  
    986  |                                          |         |  
    987  |  minecraft:tallgrass                     |      1  |  草
    988  |                                          |         |  
    989  |  minecraft:skull                         |      0  |  骷髅头颅
    990  |  minecraft:skull                         |      0  |  骷髅头颅
    991  |  manametalmod:BlockSlimes                |      0  |  史莱姆块
    992  |  manametalmod:BlockAmethystClusters      |      0  |  紫水晶簇
    993  |                                          |         |  
    994  |                                          |         |  
    995  |                                          |         |  
    996  |  manametalmod:soul_fire_1                |      0  |  灵魂火
    997  |                                          |         |  
    998  |                                          |         |  
    999  |  minecraft:mob_spawner                   |      0  |  刷怪箱
   1000  |                                          |         |  
   1001  |                                          |         |  
   1002  |                                          |         |  
   1003  |                                          |         |  
   1004  |  manametalmod:blocksign_spruce           |      0  |  杉木告示牌
   1005  |                                          |         |  
   1006  |  manametalmod:blocksignwall_spruce       |      5  |  杉木告示牌
   1007  |                                          |         |  
   1008  |  manametalmod:wood_log_break_NetherRed   |      0  |  去皮绯红菌柄
   1009  |  manametalmod:wood_log_break_NetherRed   |      0  |  去皮绯红菌柄
   1010  |  manametalmod:wood_log_break_NetherBlue  |      0  |  去皮诡异菌柄
   1011  |  manametalmod:wood_log_break_NetherBlue  |      0  |  去皮诡异菌柄
   1012  |                                          |         |  
   1013  |                                          |         |  
   1014  |                                          |         |  
   1015  |                                          |         |  
   1016  |                                          |         |  
   1017  |  manametalmod:BlockSeaGrass3             |      0  |  海草
   1018  |                                          |         |  
   1019  |                                          |         |  
   1020  |  manametalmod:BlockGlassTinteds          |      0  |  遮光玻璃
   1021  |  minecraft:tnt                           |      0  |  TNT
   1022  |                                          |         |  
   1023  |                                          |         |  
   1024  |                                          |         |  
   1025  |                                          |         |  
   1026  |                                          |         |  
   1027  |  manametalmod:RockBlockNewMinecraft2_    |     15  |  管珊瑚方块
   1028  |                                          |         |  
   1029  |                                          |         |  
   1030  |  manametalmod:RockBlockNewMinecraft      |     15  |  凝灰岩
   1031  |                                          |         |  
   1032  |  manametalmod:BlockVineBlue              |      0  |  缠冤藤
   1033  |  manametalmod:BlockVineBlue              |      1  |  缠冤藤
   1034  |                                          |         |  
   1035  |  manametalmod:froglight_2                |      0  |  苍翠蛙光体
   1036  |                                          |         |  
   1037  |  minecraft:torch                         |      1  |  火把
