========================================================================================================================
  原版方块清单 - 导入文件转换前的方块信息
  格式: 序号 | 方块状态 | 元数据 | 中文名
    379  |  minecraft:sandstone_slab                                 |  0      |  砂岩台阶
    380  |  minecraft:smooth_quartz_slab                             |  0      |  平滑石英台阶
    381  |  minecraft:smooth_red_sandstone_slab                      |  0      |  平滑红砂岩台阶
    382  |  minecraft:smooth_sandstone_slab                          |  0      |  平滑砂岩台阶
    383  |  minecraft:smooth_stone_slab                              |  0      |  平滑石头台阶
    384  |  minecraft:spruce_slab                                    |  0      |  云杉木台阶
    385  |  minecraft:stone_brick_slab                               |  0      |  石砖台阶
    386  |  minecraft:stone_slab                                     |  0      |  石头台阶
    387  |  minecraft:tuff_brick_slab                                |  0      |  凝灰岩砖台阶
    388  |  minecraft:tuff_slab                                      |  0      |  凝灰岩台阶
    389  |  minecraft:warped_slab                                    |  0      |  诡异木台阶
    390  |  minecraft:waxed_cut_copper_slab                          |  0      |  涂蜡的切制铜台阶
    391  |  minecraft:waxed_exposed_cut_copper_slab                  |  0      |  涂蜡的斑驳切制铜台阶
    392  |  minecraft:waxed_oxidized_cut_copper_slab                 |  0      |  涂蜡的氧化切制铜台阶
    393  |  minecraft:waxed_weathered_cut_copper_slab                |  0      |  涂蜡的锈蚀切制铜台阶
    394  |  minecraft:weathered_cut_copper_slab                      |  0      |  锈蚀的切制铜台阶

  --- 墙 ---

    395  |  minecraft:andesite_wall                                  |  0      |  安山岩墙
    396  |  minecraft:blackstone_wall                                |  0      |  黑石墙
    397  |  minecraft:brick_wall                                     |  0      |  红砖墙
    398  |  minecraft:cobbled_deepslate_wall                         |  0      |  深板岩圆石墙
    399  |  minecraft:cobblestone_wall                               |  0      |  圆石墙
    400  |  minecraft:deepslate_brick_wall                           |  0      |  深板岩砖墙
    401  |  minecraft:deepslate_tile_wall                            |  0      |  深板岩瓦墙
    402  |  minecraft:diorite_wall                                   |  0      |  闪长岩墙
    403  |  minecraft:end_stone_brick_wall                           |  0      |  末地石砖墙
    404  |  minecraft:granite_wall                                   |  0      |  花岗岩墙
    405  |  minecraft:mossy_cobblestone_wall                         |  0      |  苔石墙
    406  |  minecraft:mossy_stone_brick_wall                         |  0      |  苔石砖墙
    407  |  minecraft:mud_brick_wall                                 |  0      |  泥砖墙
    408  |  minecraft:nether_brick_wall                              |  0      |  下界砖墙
    409  |  minecraft:polished_blackstone_brick_wall                 |  0      |  磨制黑石砖墙
    410  |  minecraft:polished_blackstone_wall                       |  0      |  磨制黑石墙
    411  |  minecraft:polished_deepslate_wall                        |  0      |  磨制深板岩墙
    412  |  minecraft:polished_tuff_wall                             |  0      |  磨制凝灰岩墙
    413  |  minecraft:prismarine_wall                                |  0      |  海晶石墙
    414  |  minecraft:red_nether_brick_wall                          |  0      |  红色下界砖墙
    415  |  minecraft:red_sandstone_wall                             |  0      |  红砂岩墙
    416  |  minecraft:resin_brick_wall                               |  0      |  树脂砖墙
    417  |  minecraft:sandstone_wall                                 |  0      |  砂岩墙
    418  |  minecraft:stone_brick_wall                               |  0      |  石砖墙
    419  |  minecraft:tuff_brick_wall                                |  0      |  凝灰岩砖墙
    420  |  minecraft:tuff_wall                                      |  0      |  凝灰岩墙

  --- 石质建筑方块 ---

    421  |  minecraft:andesite                                       |  0      |  安山岩
    422  |  minecraft:bedrock                                        |  0      |  基岩
    423  |  minecraft:bricks                                         |  0      |  红砖块
    424  |  minecraft:chiseled_bookshelf                             |  0      |  雕纹书架
    425  |  minecraft:chiseled_copper                                |  0      |  雕纹铜块
    426  |  minecraft:chiseled_deepslate                             |  0      |  雕纹深板岩
    427  |  minecraft:chiseled_nether_bricks                         |  0      |  雕纹下界砖块
    428  |  minecraft:chiseled_polished_blackstone                   |  0      |  雕纹磨制黑石
    429  |  minecraft:chiseled_quartz_block                          |  1      |  雕纹石英块
    430  |  minecraft:chiseled_red_sandstone                         |  0      |  雕纹红砂岩
    431  |  minecraft:chiseled_resin_bricks                          |  0      |  雕纹树脂砖块
    432  |  minecraft:chiseled_sandstone                             |  1      |  雕纹砂岩
    433  |  minecraft:chiseled_stone_bricks                          |  3      |  雕纹石砖
    434  |  minecraft:chiseled_tuff                                  |  0      |  雕纹凝灰岩
    435  |  minecraft:chiseled_tuff_bricks                           |  0      |  雕纹凝灰岩砖
    436  |  minecraft:cobbled_deepslate                              |  0      |  深板岩圆石
    437  |  minecraft:cobblestone                                    |  0      |  圆石
    438  |  minecraft:cracked_deepslate_bricks                       |  0      |  裂纹深板岩砖
    439  |  minecraft:cracked_nether_bricks                          |  0      |  裂纹下界砖块
    440  |  minecraft:cracked_polished_blackstone_bricks             |  0      |  裂纹磨制黑石砖
    441  |  minecraft:cracked_stone_bricks                           |  2      |  裂纹石砖
    442  |  minecraft:cut_red_sandstone                              |  0      |  切制红砂岩
    443  |  minecraft:cut_sandstone                                  |  2      |  切制砂岩
    444  |  minecraft:dark_prismarine                                |  0      |  暗海晶石
    445  |  minecraft:deepslate_bricks                               |  0      |  深板岩砖
    446  |  minecraft:diorite                                        |  0      |  闪长岩
    447  |  minecraft:end_stone                                      |  0      |  末地石
    448  |  minecraft:end_stone_bricks                               |  0      |  末地石砖
    449  |  minecraft:granite                                        |  0      |  花岗岩
    450  |  minecraft:infested_chiseled_stone_bricks                 |  0      |  虫蚀雕纹石砖
    451  |  minecraft:infested_cracked_stone_bricks                  |  0      |  虫蚀裂纹石砖
    452  |  minecraft:infested_mossy_stone_bricks                    |  0      |  虫蚀苔石砖
    453  |  minecraft:infested_stone_bricks                          |  0      |  虫蚀石砖
    454  |  minecraft:mossy_stone_bricks                             |  1      |  苔石砖
    455  |  minecraft:mud_bricks                                     |  0      |  泥砖
    456  |  minecraft:nether_bricks                                  |  0      |  下界砖块
    457  |  minecraft:polished_andesite                              |  0      |  磨制安山岩
    458  |  minecraft:polished_basalt                                |  0      |  磨制玄武岩
    459  |  minecraft:polished_blackstone                            |  0      |  磨制黑石
    460  |  minecraft:polished_blackstone_bricks                     |  0      |  磨制黑石砖
    461  |  minecraft:polished_deepslate                             |  0      |  磨制深板岩
    462  |  minecraft:polished_diorite                               |  0      |  磨制闪长岩
    463  |  minecraft:polished_granite                               |  0      |  磨制花岗岩
    464  |  minecraft:polished_tuff                                  |  0      |  磨制凝灰岩
    465  |  minecraft:prismarine                                     |  0      |  海晶石
    466  |  minecraft:prismarine_bricks                              |  0      |  海晶石砖
    467  |  minecraft:purpur_block                                   |  0      |  紫珀块
    468  |  minecraft:purpur_pillar                                  |  0      |  紫珀柱
    469  |  minecraft:quartz_block                                   |  0      |  石英块
    470  |  minecraft:quartz_bricks                                  |  0      |  石英砖
    471  |  minecraft:quartz_pillar                                  |  2      |  石英柱
    472  |  minecraft:red_nether_bricks                              |  0      |  红色下界砖块
    473  |  minecraft:red_sandstone                                  |  0      |  红砂岩
    474  |  minecraft:resin_bricks                                   |  0      |  树脂砖块
    475  |  minecraft:sandstone                                      |  1      |  砂岩
    476  |  minecraft:smooth_quartz                                  |  0      |  平滑石英块
    477  |  minecraft:smooth_red_sandstone                           |  0      |  平滑红砂岩
    478  |  minecraft:smooth_sandstone                               |  0      |  平滑砂岩
    479  |  minecraft:smooth_stone                                   |  8      |  平滑石头
    480  |  minecraft:stone                                          |  0      |  石头
    481  |  minecraft:stone_bricks                                   |  0      |  石砖
    482  |  minecraft:tuff_bricks                                    |  0      |  凝灰岩砖

  --- 自然地表 ---

    483  |  minecraft:clay                                           |  0      |  黏土
    484  |  minecraft:coarse_dirt                                    |  0      |  砂土
    485  |  minecraft:dirt                                           |  0      |  泥土
    486  |  minecraft:farmland                                       |  0      |  耕地
    487  |  minecraft:grass_block                                    |  0      |  草方块
    488  |  minecraft:gravel                                         |  0      |  沙砾
    489  |  minecraft:mycelium                                       |  0      |  菌丝体
    490  |  minecraft:podzol                                         |  0      |  灰化土
    491  |  minecraft:red_sand                                       |  0      |  红沙
    492  |  minecraft:sand                                           |  0      |  沙子
    493  |  minecraft:soul_sand                                      |  0      |  灵魂沙
    494  |  minecraft:soul_soil                                      |  0      |  灵魂土

  --- 自然其他 ---

    495  |  minecraft:blue_ice                                       |  0      |  蓝冰
    496  |  minecraft:crying_obsidian                                |  0      |  哭泣的黑曜石
    497  |  minecraft:glowstone                                      |  0      |  荧石
    498  |  minecraft:ice                                            |  0      |  冰
    499  |  minecraft:lava                                           |  0      |  熔岩
    500  |  minecraft:magma_block                                    |  0      |  岩浆块
    501  |  minecraft:obsidian                                       |  0      |  黑曜石
    502  |  minecraft:packed_ice                                     |  0      |  浮冰
    503  |  minecraft:sea_lantern                                    |  0      |  海晶灯
    504  |  minecraft:snow                                           |  0      |  雪
    505  |  minecraft:snow_block                                     |  0      |  雪块
    506  |  minecraft:sponge                                         |  0      |  海绵
    507  |  minecraft:water                                          |  0      |  水
    508  |  minecraft:wet_sponge                                     |  0      |  湿海绵

  --- 矿石 ---

    509  |  minecraft:coal_ore                                       |  0      |  煤矿石
    510  |  minecraft:copper_ore                                     |  0      |  铜矿石
    511  |  minecraft:deepslate_coal_ore                             |  0      |  深层煤矿石
    512  |  minecraft:deepslate_copper_ore                           |  0      |  深层铜矿石
    513  |  minecraft:deepslate_diamond_ore                          |  0      |  深层钻石矿石
    514  |  minecraft:deepslate_emerald_ore                          |  0      |  深层绿宝石矿石
    515  |  minecraft:deepslate_gold_ore                             |  0      |  深层金矿石
    516  |  minecraft:deepslate_iron_ore                             |  0      |  深层铁矿石
    517  |  minecraft:deepslate_lapis_ore                            |  0      |  深层青金石矿石
    518  |  minecraft:deepslate_redstone_ore                         |  0      |  深层红石矿石
    519  |  minecraft:diamond_ore                                    |  0      |  钻石矿石
    520  |  minecraft:emerald_ore                                    |  0      |  绿宝石矿石
    521  |  minecraft:gold_ore                                       |  0      |  金矿石
    522  |  minecraft:iron_ore                                       |  0      |  铁矿石
    523  |  minecraft:lapis_ore                                      |  0      |  青金石矿石
    524  |  minecraft:nether_gold_ore                                |  0      |  下界金矿石
    525  |  minecraft:nether_quartz_ore                              |  0      |  下界石英矿石
    526  |  minecraft:redstone_ore                                   |  0      |  红石矿石

  --- 按钮 ---

    527  |  minecraft:acacia_button                                  |  0      |  金合欢木按钮
    528  |  minecraft:bamboo_button                                  |  0      |  竹按钮
    529  |  minecraft:birch_button                                   |  0      |  白桦木按钮
    530  |  minecraft:cherry_button                                  |  0      |  樱花木按钮
    531  |  minecraft:crimson_button                                 |  0      |  绯红木按钮
    532  |  minecraft:dark_oak_button                                |  0      |  深色橡木按钮
    533  |  minecraft:jungle_button                                  |  0      |  丛林木按钮
    534  |  minecraft:mangrove_button                                |  0      |  红树木按钮
    535  |  minecraft:oak_button                                     |  0      |  橡木按钮
    536  |  minecraft:pale_oak_button                                |  0      |  苍白橡木按钮
    537  |  minecraft:polished_blackstone_button                     |  0      |  磨制黑石按钮
    538  |  minecraft:spruce_button                                  |  0      |  云杉木按钮
    539  |  minecraft:stone_button                                   |  0      |  石头按钮
    540  |  minecraft:warped_button                                  |  0      |  诡异木按钮

  --- 压力板 ---

    541  |  minecraft:acacia_pressure_plate                          |  0      |  金合欢木压力板
    542  |  minecraft:bamboo_pressure_plate                          |  0      |  竹压力板
    543  |  minecraft:birch_pressure_plate                           |  0      |  白桦木压力板
    544  |  minecraft:cherry_pressure_plate                          |  0      |  樱花木压力板
    545  |  minecraft:crimson_pressure_plate                         |  0      |  绯红木压力板
    546  |  minecraft:dark_oak_pressure_plate                        |  0      |  深色橡木压力板
    547  |  minecraft:heavy_weighted_pressure_plate                  |  0      |  重质测重压力板
    548  |  minecraft:jungle_pressure_plate                          |  0      |  丛林木压力板
    549  |  minecraft:light_weighted_pressure_plate                  |  0      |  轻质测重压力板
    550  |  minecraft:mangrove_pressure_plate                        |  0      |  红树木压力板
    551  |  minecraft:oak_pressure_plate                             |  0      |  橡木压力板
    552  |  minecraft:pale_oak_pressure_plate                        |  0      |  苍白橡木压力板
    553  |  minecraft:polished_blackstone_pressure_plate             |  0      |  磨制黑石压力板
    554  |  minecraft:spruce_pressure_plate                          |  0      |  云杉木压力板
    555  |  minecraft:stone_pressure_plate                           |  0      |  石头压力板
    556  |  minecraft:warped_pressure_plate                          |  0      |  诡异木压力板

  --- 功能方块 ---

    557  |  minecraft:anvil                                          |  0      |  铁砧
    558  |  minecraft:barrel                                         |  0      |  木桶
    559  |  minecraft:beacon                                         |  0      |  信标
    560  |  minecraft:bell                                           |  0      |  钟
    561  |  minecraft:blast_furnace                                  |  0      |  高炉
    562  |  minecraft:brewing_stand                                  |  0      |  酿造台
    563  |  minecraft:campfire                                       |  0      |  营火
    564  |  minecraft:cartography_table                              |  0      |  制图台
    565  |  minecraft:cauldron                                       |  0      |  炼药锅
    566  |  minecraft:chest                                          |  0      |  箱子
    567  |  minecraft:comparator                                     |  0      |  红石比较器
    568  |  minecraft:composter                                      |  0      |  堆肥桶
    569  |  minecraft:crafting_table                                 |  0      |  工作台
    570  |  minecraft:daylight_detector                              |  0      |  阳光探测器
    571  |  minecraft:dispenser                                      |  0      |  发射器
    572  |  minecraft:dropper                                        |  0      |  投掷器
    573  |  minecraft:enchanting_table                               |  0      |  附魔台
    574  |  minecraft:ender_chest                                    |  0      |  末影箱
    575  |  minecraft:fletching_table                                |  0      |  制箭台
    576  |  minecraft:furnace                                        |  0      |  熔炉
    577  |  minecraft:grindstone                                     |  0      |  砂轮
    578  |  minecraft:hopper                                         |  0      |  漏斗
    579  |  minecraft:jukebox                                        |  0      |  唱片机
    580  |  minecraft:lantern                                        |  0      |  灯笼
    581  |  minecraft:lectern                                        |  0      |  讲台
    582  |  minecraft:lever                                          |  0      |  拉杆
    583  |  minecraft:loom                                           |  0      |  织布机
    584  |  minecraft:note_block                                     |  0      |  音符盒
    585  |  minecraft:observer                                       |  0      |  侦测器
    586  |  minecraft:piston                                         |  0      |  活塞
    587  |  minecraft:redstone_lamp                                  |  0      |  红石灯
    588  |  minecraft:redstone_torch                                 |  0      |  红石火把
    589  |  minecraft:repeater                                       |  0      |  红石中继器
    590  |  minecraft:smithing_table                                 |  0      |  锻造台
    591  |  minecraft:smoker                                         |  0      |  烟熏炉
    592  |  minecraft:soul_campfire                                  |  0      |  灵魂营火
    593  |  minecraft:soul_lantern                                   |  0      |  灵魂灯笼
    594  |  minecraft:soul_torch                                     |  0      |  灵魂火把
    595  |  minecraft:sticky_piston                                  |  0      |  黏性活塞
    596  |  minecraft:stonecutter                                    |  0      |  切石机
    597  |  minecraft:target                                         |  0      |  标靶
    598  |  minecraft:torch                                          |  0      |  火把
    599  |  minecraft:trapped_chest                                  |  0      |  陷阱箱

  --- 交通/红石 ---

    600  |  minecraft:activator_rail                                 |  0      |  激活铁轨
    601  |  minecraft:detector_rail                                  |  0      |  探测铁轨
    602  |  minecraft:powered_rail                                   |  0      |  动力铁轨
    603  |  minecraft:rail                                           |  0      |  铁轨
    604  |  minecraft:redstone_wire                                  |  0      |  红石线
    605  |  minecraft:tripwire                                       |  0      |  绊线
    606  |  minecraft:tripwire_hook                                  |  0      |  绊线钩

  --- 植物 ---

    607  |  minecraft:allium                                         |  2      |  绒球葱
    608  |  minecraft:azure_bluet                                    |  3      |  蓝花美耳草
    609  |  minecraft:bamboo                                         |  0      |  竹子
    610  |  minecraft:beetroots                                      |  0      |  甜菜根
    611  |  minecraft:blue_orchid                                    |  1      |  兰花
    612  |  minecraft:brown_mushroom                                 |  0      |  棕色蘑菇
    613  |  minecraft:cactus                                         |  0      |  仙人掌
    614  |  minecraft:carrots                                        |  0      |  胡萝卜
    615  |  minecraft:chorus_flower                                  |  0      |  紫颂花
    616  |  minecraft:chorus_plant                                   |  0      |  紫颂植株
    617  |  minecraft:cocoa                                          |  0      |  可可果
    618  |  minecraft:dandelion                                      |  0      |  蒲公英
    619  |  minecraft:dead_bush                                      |  0      |  枯萎的灌木
    620  |  minecraft:dried_kelp_block                               |  0      |  干海带块
    621  |  minecraft:fern                                           |  2      |  蕨
    622  |  minecraft:grass                                          |  1      |  草
    623  |  minecraft:kelp                                           |  0      |  海带
    624  |  minecraft:large_fern                                     |  0      |  大型蕨
    625  |  minecraft:lilac                                          |  0      |  丁香
    626  |  minecraft:lily_pad                                       |  0      |  睡莲
    627  |  minecraft:melon                                          |  0      |  西瓜
    628  |  minecraft:melon_stem                                     |  0      |  西瓜茎
    629  |  minecraft:nether_wart                                    |  0      |  下界疣
    630  |  minecraft:orange_tulip                                   |  5      |  橙色郁金香
    631  |  minecraft:oxeye_daisy                                    |  8      |  滨菊
    632  |  minecraft:peony                                          |  0      |  牡丹
    633  |  minecraft:pink_tulip                                     |  7      |  粉红色郁金香
    634  |  minecraft:poppy                                          |  0      |  虞美人
    635  |  minecraft:potatoes                                       |  0      |  马铃薯
    636  |  minecraft:pumpkin                                        |  0      |  南瓜
    637  |  minecraft:pumpkin_stem                                   |  0      |  南瓜茎
    638  |  minecraft:red_mushroom                                   |  0      |  红色蘑菇
    639  |  minecraft:red_tulip                                      |  4      |  红色郁金香
    640  |  minecraft:rose_bush                                      |  0      |  玫瑰丛
    641  |  minecraft:sea_pickle                                     |  0      |  海泡菜
    642  |  minecraft:sugar_cane                                     |  0      |  甘蔗
    643  |  minecraft:sunflower                                      |  0      |  向日葵
    644  |  minecraft:sweet_berry_bush                               |  0      |  甜浆果丛
    645  |  minecraft:tall_grass                                     |  1      |  高草丛
    646  |  minecraft:vine                                           |  0      |  藤蔓
    647  |  minecraft:wheat                                          |  0      |  小麦植株
    648  |  minecraft:white_tulip                                    |  6      |  白色郁金香

  --- 潜影盒 ---

    649  |  minecraft:black_shulker_box                              |  0      |  黑色潜影盒
    650  |  minecraft:blue_shulker_box                               |  0      |  蓝色潜影盒
    651  |  minecraft:brown_shulker_box                              |  0      |  棕色潜影盒
    652  |  minecraft:cyan_shulker_box                               |  0      |  青色潜影盒
    653  |  minecraft:gray_shulker_box                               |  0      |  灰色潜影盒
    654  |  minecraft:green_shulker_box                              |  0      |  绿色潜影盒
    655  |  minecraft:light_blue_shulker_box                         |  0      |  淡蓝色潜影盒
    656  |  minecraft:light_gray_shulker_box                         |  0      |  淡灰色潜影盒
    657  |  minecraft:lime_shulker_box                               |  0      |  黄绿色潜影盒
    658  |  minecraft:magenta_shulker_box                            |  0      |  品红色潜影盒
    659  |  minecraft:orange_shulker_box                             |  0      |  橙色潜影盒
    660  |  minecraft:pink_shulker_box                               |  0      |  粉红色潜影盒
    661  |  minecraft:purple_shulker_box                             |  0      |  紫色潜影盒
    662  |  minecraft:red_shulker_box                                |  0      |  红色潜影盒
    663  |  minecraft:shulker_box                                    |  0      |  潜影盒
    664  |  minecraft:white_shulker_box                              |  0      |  白色潜影盒
    665  |  minecraft:yellow_shulker_box                             |  0      |  黄色潜影盒

  --- 杂项建筑 ---

    666  |  minecraft:bookshelf                                      |  0      |  书架
    667  |  minecraft:glass                                          |  0      |  玻璃
    668  |  minecraft:glass_pane                                     |  0      |  玻璃板
    669  |  minecraft:iron_bars                                      |  0      |  铁栏杆
    670  |  minecraft:ladder                                         |  0      |  梯子
    671  |  minecraft:scaffolding                                    |  0      |  脚手架
    672  |  minecraft:white_banner                                   |  0      |  白色旗帜

  --- 其他 ---

    673  |  minecraft:acacia_hanging_sign                            |  0      |  悬挂式金合欢木告示牌
    674  |  minecraft:acacia_sign                                    |  0      |  金合欢木告示牌
    675  |  minecraft:acacia_wall_hanging_sign                       |  0      |  墙上的悬挂式金合欢木告示牌
    676  |  minecraft:acacia_wall_sign                               |  0      |  墙上的金合欢木告示牌
    677  |  minecraft:air                                            |  0      |  空气
    678  |  minecraft:amethyst_block                                 |  0      |  紫水晶块
    679  |  minecraft:amethyst_cluster                               |  0      |  紫水晶簇
    680  |  minecraft:ancient_debris                                 |  0      |  远古残骸
    681  |  minecraft:attached_melon_stem                            |  0      |  结果的西瓜茎
    682  |  minecraft:attached_pumpkin_stem                          |  0      |  结果的南瓜茎
    683  |  minecraft:azalea                                         |  0      |  杜鹃花丛
    684  |  minecraft:bamboo_block                                   |  0      |  竹块
    685  |  minecraft:bamboo_hanging_sign                            |  0      |  悬挂式竹告示牌
    686  |  minecraft:bamboo_mosaic                                  |  0      |  竹马赛克
    687  |  minecraft:bamboo_sign                                    |  0      |  竹告示牌
    688  |  minecraft:bamboo_wall_hanging_sign                       |  0      |  墙上的悬挂式竹告示牌
    689  |  minecraft:bamboo_wall_sign                               |  0      |  墙上的竹告示牌
    690  |  minecraft:barrier                                        |  0      |  屏障
    691  |  minecraft:basalt                                         |  0      |  玄武岩
    692  |  minecraft:beacon.primary                                 |  0      |  主效果
    693  |  minecraft:beacon.secondary                               |  0      |  辅助效果
    694  |  minecraft:bed.no_sleep                                   |  0      |  你只能在夜间或雷暴中入眠
    695  |  minecraft:bed.not_safe                                   |  0      |  你现在不能休息，周围有怪物在游荡
    696  |  minecraft:bed.obstructed                                 |  0      |  这张床已被阻挡
    697  |  minecraft:bed.occupied                                   |  0      |  这张床已被占用
    698  |  minecraft:bed.too_far_away                               |  0      |  你现在不能休息，床太远了
    699  |  minecraft:bee_nest                                       |  0      |  蜂巢
    700  |  minecraft:beehive                                        |  0      |  蜂箱
    701  |  minecraft:big_dripleaf                                   |  0      |  大型垂滴叶
    702  |  minecraft:big_dripleaf_stem                              |  0      |  大型垂滴叶茎
    703  |  minecraft:birch_hanging_sign                             |  0      |  悬挂式白桦木告示牌
    704  |  minecraft:birch_sign                                     |  0      |  白桦木告示牌
    705  |  minecraft:birch_wall_hanging_sign                        |  0      |  墙上的悬挂式白桦木告示牌
    706  |  minecraft:birch_wall_sign                                |  0      |  墙上的白桦木告示牌
    707  |  minecraft:black_bed                                      |  0      |  黑色床
    708  |  minecraft:black_candle                                   |  0      |  黑色蜡烛
    709  |  minecraft:black_candle_cake                              |  0      |  插上黑色蜡烛的蛋糕
    710  |  minecraft:blackstone                                     |  0      |  黑石
    711  |  minecraft:blue_bed                                       |  0      |  蓝色床
    712  |  minecraft:blue_candle                                    |  0      |  蓝色蜡烛
    713  |  minecraft:blue_candle_cake                               |  0      |  插上蓝色蜡烛的蛋糕
    714  |  minecraft:bone_block                                     |  0      |  骨块
    715  |  minecraft:brain_coral                                    |  0      |  脑纹珊瑚
    716  |  minecraft:brain_coral_block                              |  0      |  脑纹珊瑚块
    717  |  minecraft:brain_coral_fan                                |  0      |  脑纹珊瑚扇
    718  |  minecraft:brain_coral_wall_fan                           |  0      |  墙上的脑纹珊瑚扇
    719  |  minecraft:brown_bed                                      |  0      |  棕色床
    720  |  minecraft:brown_candle                                   |  0      |  棕色蜡烛
    721  |  minecraft:brown_candle_cake                              |  0      |  插上棕色蜡烛的蛋糕
    722  |  minecraft:brown_mushroom_block                           |  0      |  棕色蘑菇方块
    723  |  minecraft:bubble_column                                  |  0      |  气泡柱
    724  |  minecraft:bubble_coral                                   |  0      |  气泡珊瑚
    725  |  minecraft:bubble_coral_block                             |  0      |  气泡珊瑚块
    726  |  minecraft:bubble_coral_fan                               |  0      |  气泡珊瑚扇
    727  |  minecraft:bubble_coral_wall_fan                          |  0      |  墙上的气泡珊瑚扇
    728  |  minecraft:budding_amethyst                               |  0      |  紫水晶母岩
    729  |  minecraft:bush                                           |  0      |  灌木丛
    730  |  minecraft:cactus_flower                                  |  0      |  仙人掌花
    731  |  minecraft:cake                                           |  0      |  蛋糕
    732  |  minecraft:calcite                                        |  0      |  方解石
    733  |  minecraft:calibrated_sculk_sensor                        |  0      |  校频幽匿感测体
    734  |  minecraft:candle                                         |  0      |  蜡烛
    735  |  minecraft:candle_cake                                    |  0      |  插上蜡烛的蛋糕
    736  |  minecraft:carved_pumpkin                                 |  0      |  雕刻南瓜
    737  |  minecraft:cave_air                                       |  0      |  洞穴空气
    738  |  minecraft:cave_vines                                     |  0      |  洞穴藤蔓
    739  |  minecraft:cave_vines_plant                               |  0      |  洞穴藤蔓植株
    740  |  minecraft:iron_chain                                     |  0      |  铁链
    741  |  minecraft:chain_command_block                            |  0      |  连锁型命令方块
    742  |  minecraft:cherry_hanging_sign                            |  0      |  悬挂式樱花木告示牌
    743  |  minecraft:cherry_sign                                    |  0      |  樱花木告示牌
    744  |  minecraft:cherry_wall_hanging_sign                       |  0      |  墙上的悬挂式樱花木告示牌
    745  |  minecraft:cherry_wall_sign                               |  0      |  墙上的樱花木告示牌
    746  |  minecraft:chipped_anvil                                  |  0      |  开裂的铁砧
    747  |  minecraft:closed_eyeblossom                              |  0      |  闭合的眼眸花
    748  |  minecraft:coal_block                                     |  0      |  煤炭块
    749  |  minecraft:cobweb                                         |  0      |  蜘蛛网
    750  |  minecraft:command_block                                  |  0      |  命令方块
    751  |  minecraft:conduit                                        |  0      |  潮涌核心
    752  |  minecraft:copper_block                                   |  0      |  铜块
    753  |  minecraft:copper_bulb                                    |  0      |  铜灯
    754  |  minecraft:copper_grate                                   |  0      |  铜格栅
    755  |  minecraft:cornflower                                     |  0      |  矢车菊
    756  |  minecraft:cracked_deepslate_tiles                        |  0      |  裂纹深板岩瓦
    757  |  minecraft:crafter                                        |  0      |  合成器
    758  |  minecraft:creaking_heart                                 |  0      |  嘎枝之心
    759  |  minecraft:creeper_head                                   |  0      |  苦力怕的头
    760  |  minecraft:creeper_wall_head                              |  0      |  墙上的苦力怕的头
    761  |  minecraft:crimson_fungus                                 |  0      |  绯红菌
    762  |  minecraft:crimson_hanging_sign                           |  0      |  悬挂式绯红木告示牌
    763  |  minecraft:crimson_hyphae                                 |  0      |  绯红菌核
    764  |  minecraft:crimson_nylium                                 |  0      |  绯红菌岩
    765  |  minecraft:crimson_roots                                  |  0      |  绯红菌索
    766  |  minecraft:crimson_sign                                   |  0      |  绯红木告示牌
    767  |  minecraft:crimson_stem                                   |  0      |  绯红菌柄
    768  |  minecraft:crimson_wall_hanging_sign                      |  0      |  墙上的悬挂式绯红木告示牌
    769  |  minecraft:crimson_wall_sign                              |  0      |  墙上的绯红木告示牌
    770  |  minecraft:cut_copper                                     |  0      |  切制铜块
    771  |  minecraft:cyan_bed                                       |  0      |  青色床
    772  |  minecraft:cyan_candle                                    |  0      |  青色蜡烛
    773  |  minecraft:cyan_candle_cake                               |  0      |  插上青色蜡烛的蛋糕
    774  |  minecraft:damaged_anvil                                  |  0      |  损坏的铁砧
    775  |  minecraft:dark_oak_hanging_sign                          |  0      |  悬挂式深色橡木告示牌
    776  |  minecraft:dark_oak_sign                                  |  0      |  深色橡木告示牌
    777  |  minecraft:dark_oak_wall_hanging_sign                     |  0      |  墙上的悬挂式深色橡木告示牌
    778  |  minecraft:dark_oak_wall_sign                             |  0      |  墙上的深色橡木告示牌
    779  |  minecraft:dead_brain_coral                               |  0      |  失活的脑纹珊瑚
    780  |  minecraft:dead_brain_coral_block                         |  0      |  失活的脑纹珊瑚块
    781  |  minecraft:dead_brain_coral_fan                           |  0      |  失活的脑纹珊瑚扇
    782  |  minecraft:dead_brain_coral_wall_fan                      |  0      |  墙上的失活脑纹珊瑚扇
    783  |  minecraft:dead_bubble_coral                              |  0      |  失活的气泡珊瑚
    784  |  minecraft:dead_bubble_coral_block                        |  0      |  失活的气泡珊瑚块
    785  |  minecraft:dead_bubble_coral_fan                          |  0      |  失活的气泡珊瑚扇
    786  |  minecraft:dead_bubble_coral_wall_fan                     |  0      |  墙上的失活气泡珊瑚扇
    787  |  minecraft:dead_fire_coral                                |  0      |  失活的火珊瑚
    788  |  minecraft:dead_fire_coral_block                          |  0      |  失活的火珊瑚块
    789  |  minecraft:dead_fire_coral_fan                            |  0      |  失活的火珊瑚扇
    790  |  minecraft:dead_fire_coral_wall_fan                       |  0      |  墙上的失活火珊瑚扇
    791  |  minecraft:dead_horn_coral                                |  0      |  失活的鹿角珊瑚
